name,description,date,views,comments
TED на английском — рай для дизайнера,10 отличных лекций для вдохновения.,19 декабря 2018,5435,0
" В гейм-дизайнеры с нуля: как делать игры, если нет опыта","Часть 1. Идея, диздок и графика. Теория и полезные ссылки.",19 декабря 2018,25925,17
Еженедельный дайджест для дизайнера и разработчика,"Полезные новости и статьи для тех, у кого все в порядке с английским.",17 декабря 2018,6105,0
7 инструментов маркетолога: покоряем международную аудиторию,"Как быстро генерировать англоязычный контент для своего проекта и какие популярные за рубежом маркетинговые инструменты использовать.

",14 декабря 2018,12359,1
Стэн Ли: «Мир для меня — книжка комиксов»,Как создателю героев комиксов удалось изменить наши жизни.,13 декабря 2018,3925,0
10 идей новогодних подарков гику,Успейте заказать идеальный презент.,12 декабря 2018,37024,15
С++ как первый язык: путь преподавателя GeekBrains,"Зачем учить сложный язык, когда можно выучить простой.",11 декабря 2018,29803,8
15 крутых штук для рабочего стола айтишника,"Если выбираете, как обустроить рабочий стол для позитивного настроя, посмотрите на эти штуковины.",08 декабря 2018,33942,14
Кому подходит «удаленка» и в каких сферах ее проще найти,Удаленная работа в IT глазами сотрудника и руководителя.,04 декабря 2018,38038,26
Итоги года в IT 2018,"Рассказываем, что было, что будет, чем сердце успокоится.",03 декабря 2018,18254,4
Лучшие статьи 2018 года. Дайджест блога GeekBrains,"Самые интересные, обсуждаемые, «залайканные» записи, которые хочется читать и перечитывать.
",02 декабря 2018,4191,1
Как преодолеть прокрастинацию и начать работать,"Мои знакомые через одного жалуются на прокрастинацию. Парадокс в том, что каждый из них уверен: остальные успешно побороли лень и работают, в то время как сами они откладывают важные дела — и так безрезультатно и безрадостно проходит их жизнь.",29 ноября 2018,67002,36
"Что делать, если вы разработчик-одиночка?",Полезные советы от веб-разработчика.,28 ноября 2018,19070,17
Шпаргалка фронтендера: гид по таблицам,"Подробное руководство, как сделать опрятную и информативную таблицу",27 ноября 2018,18902,2
Инклюзивный дизайн: кому и зачем это нужно,"Как решения, которые мы применяем в дизайне, расширяют или ограничивают возможности людей.",23 ноября 2018,19739,1
Чему учат на факультете искусственного интеллекта в GU,"О специальности, востребованности ИИ, учебном курсе и предстоящих студентам проектах рассказывает Сергей Кручинин.",22 ноября 2018,17344,15
"С# в 2018 году: спрос, зарплаты и тренды",Популярность и востребованность С#,21 ноября 2018,19881,8
Айдентика: создание сочетающихся фирменных фишек бренда,"В статье автор раскрывает термин visual hooks, дословно — «визуальные крючки».",18 ноября 2018,12832,3
